NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
24,0,8,1000000,1,2,6639,7,9,10,23,14765,63975,79772
24,0,8,1000000,1,3,434869,193221,199509,205377,431678,617960,677466,718057
24,0,8,1000000,1,4,26462,3342,6262,8187,19388,38831,43510,253516
24,0,8,1000000,2,2,9421,326,326,326,11902,17400,17400,17400
24,0,8,1000000,2,3,217773,103827,103827,103827,248082,363063,363063,363063
24,0,8,1000000,2,4,22044,10490,10490,10490,25971,35449,35449,35449
24,0,8,1000000,3,1,10,2,2,2,18,18,18,18
24,0,8,1000000,3,2,1095,1,1,1,1653,2452,2452,2452
24,0,8,1000000,3,3,189190,79391,79391,79391,219037,232769,232769,232769
24,0,8,1000000,3,4,11128,6777,6777,6777,8531,20288,20288,20288
24,0,8,1000000,4,2,124,124,124,124,124,124,124,124
24,0,8,1000000,4,3,158886,158886,158886,158886,158886,158886,158886,158886
24,0,8,1000000,4,4,22512,22512,22512,22512,22512,22512,22512,22512

25,0,8,1000000,1,1,4,3,3,3,5,6,6,6
25,0,8,1000000,1,2,9137,5,9,13,28,18158,78924,101721
25,0,8,1000000,1,3,481813,127278,288035,307675,501689,609971,635861,715346
25,0,8,1000000,1,4,31256,1666,9632,10782,25382,60299,69325,94297
25,0,8,1000000,2,2,8866,198,198,198,10076,15087,15087,15087
25,0,8,1000000,2,3,263348,96351,96351,96351,194351,520165,520165,520165
25,0,8,1000000,2,4,35895,10463,10463,10463,22892,95211,95211,95211
25,0,8,1000000,3,1,4,4,4,4,4,4,4,4
25,0,8,1000000,3,2,35,2,2,2,14,132,132,132
25,0,8,1000000,4,2,4484,118,118,118,8850,8850,8850,8850
25,0,8,1000000,4,3,216037,210158,210158,210158,221917,221917,221917,221917
25,0,8,1000000,4,4,24146,23889,23889,23889,24403,24403,24403,24403

26,0,8,1000000,1,1,3,2,2,2,3,6,6,6
26,0,8,1000000,1,2,29085,6,10,13,25,628,77383,682967
26,0,8,1000000,1,3,470521,137738,234629,311807,444179,669239,688495,733263
26,0,8,1000000,1,4,29919,5132,5690,7169,25143,60203,65644,126624
26,0,8,1000000,2,2,4029,298,298,298,7512,8000,8000,8000
26,0,8,1000000,2,3,244021,103322,103322,103322,295428,376540,376540,376540
26,0,8,1000000,2,4,26481,10603,10603,10603,31501,42757,42757,42757
26,0,8,1000000,3,1,3,3,3,3,3,3,3,3
26,0,8,1000000,3,2,7,2,2,2,13,13,13,13
26,0,8,1000000,3,3,164761,121088,121088,121088,208434,208434,208434,208434
26,0,8,1000000,3,4,14886,7587,7587,7587,22186,22186,22186,22186
26,0,8,1000000,4,2,10876,10876,10876,10876,10876,10876,10876,10876
26,0,8,1000000,4,3,177894,177894,177894,177894,177894,177894,177894,177894
26,0,8,1000000,4,4,21789,21789,21789,21789,21789,21789,21789,21789

27,0,8,1000000,1,1,5,3,3,3,6,13,13,13
27,0,8,1000000,1,2,2674,7,8,9,16,150,198,75684
27,0,8,1000000,1,3,454091,190049,264372,329681,465553,577737,587049,635648
27,0,8,1000000,1,4,28535,5383,8546,11954,23563,53795,71404,121765
27,0,8,1000000,2,2,3524,200,200,200,304,8771,8771,8771
27,0,8,1000000,2,3,262472,107522,107522,107522,238470,503048,503048,503048
27,0,8,1000000,2,4,38563,10663,10663,10663,26232,104588,104588,104588
27,0,8,1000000,4,2,157,111,111,111,135,263,263,263
27,0,8,1000000,4,3,178128,70881,70881,70881,216226,219350,219350,219350
27,0,8,1000000,4,4,19588,8862,8862,8862,23085,24502,24502,24502

28,0,8,1000000,1,1,7,3,3,3,8,10,10,10
28,0,8,1000000,1,2,20456,9,11,11,16,78012,78493,416244
28,0,8,1000000,1,3,509755,177515,296290,330048,538062,668637,685297,689986
28,0,8,1000000,1,4,29470,5176,8435,9459,24862,61385,87734,100789
28,0,8,1000000,2,2,4536,198,198,198,7160,7652,7652,7652
28,0,8,1000000,2,3,245102,108672,108672,108672,198067,469025,469025,469025
28,0,8,1000000,2,4,25224,10714,10714,10714,20544,41453,41453,41453
28,0,8,1000000,3,1,3,3,3,3,3,3,3,3
28,0,8,1000000,3,2,5,1,1,1,6,7,7,7
28,0,8,1000000,3,3,177671,83317,83317,83317,207633,224861,224861,224861
28,0,8,1000000,3,4,9377,5900,5900,5900,8797,14019,14019,14019
28,0,8,1000000,4,2,220,166,166,166,195,300,300,300
28,0,8,1000000,4,3,133865,133865,133865,133865,133865,133865,133865,133865
28,0,8,1000000,4,4,17353,17353,17353,17353,17353,17353,17353,17353

29,1,8,1000000,1,1,82,73,73,73,76,105,105,105
29,1,8,1000000,1,2,1366909,737425,737425,737425,1178055,2185249,2185249,2185249
29,1,8,1000000,1,3,54,44,44,44,47,71,71,71
29,1,8,1000000,2,1,25,14,14,14,35,35,35,35
29,1,8,1000000,2,2,320351,171014,171014,171014,346000,535019,535019,535019
29,1,8,1000000,2,3,21,13,13,13,23,31,31,31

30,1,8,1000000,1,1,2992,37,37,37,72,11796,11796,11796
30,1,8,1000000,1,2,973944,633975,633975,633975,839790,1448068,1448068,1448068
30,1,8,1000000,1,3,40,26,26,26,41,54,54,54
30,1,8,1000000,2,1,21,16,16,16,22,26,26,26
30,1,8,1000000,2,2,266578,118644,118644,118644,180895,500196,500196,500196
30,1,8,1000000,2,3,15,12,12,12,12,23,23,23

31,1,8,1000000,1,1,62,49,49,49,68,69,69,69
31,1,8,1000000,1,2,1048756,580699,580699,580699,993449,1572121,1572121,1572121
31,1,8,1000000,1,3,49,40,40,40,53,56,56,56
31,1,8,1000000,2,1,34,16,16,16,21,82,82,82
31,1,8,1000000,2,2,270978,130506,130506,130506,288576,445826,445826,445826
31,1,8,1000000,2,3,20,14,14,14,22,28,28,28

32,1,8,1000000,1,1,47,35,35,35,47,66,66,66
32,1,8,1000000,1,2,962819,476405,476405,476405,863857,1548195,1548195,1548195
32,1,8,1000000,1,3,48,34,34,34,49,62,62,62
32,1,8,1000000,2,1,21,14,14,14,25,25,25,25
32,1,8,1000000,2,2,246151,125297,125297,125297,298870,395381,395381,395381
32,1,8,1000000,2,3,19,11,11,11,21,29,29,29

33,1,8,1000000,1,1,56,36,36,36,66,72,72,72
33,1,8,1000000,1,2,1157508,646654,646654,646654,1026926,1798944,1798944,1798944
33,1,8,1000000,1,3,41,33,33,33,42,50,50,50
33,1,8,1000000,2,1,18,13,13,13,23,23,23,23
33,1,8,1000000,2,2,248664,117536,117536,117536,269763,449294,449294,449294
33,1,8,1000000,2,3,16,11,11,11,21,22,22,22







40,1,8,1000000,1,1,65,44,44,44,63,89,89,89
40,1,8,1000000,1,2,1350506,831506,831506,831506,1869507,1869507,1869507,1869507
40,1,8,1000000,1,3,47,37,37,37,57,57,57,57
40,1,8,1000000,2,1,25,13,13,13,23,50,50,50
40,1,8,1000000,2,2,309928,120917,120917,120917,295428,575564,575564,575564
40,1,8,1000000,2,3,23,11,11,11,25,36,36,36

41,1,8,1000000,1,1,255,33,33,33,94,815,815,815
41,1,8,1000000,1,2,965722,448523,448523,448523,777609,1671036,1671036,1671036
41,1,8,1000000,1,3,40,39,39,39,39,43,43,43
41,1,8,1000000,2,1,18,13,13,13,22,26,26,26
41,1,8,1000000,2,2,248722,119511,119511,119511,287603,415078,415078,415078
41,1,8,1000000,2,3,22,13,13,13,31,31,31,31

42,1,8,1000000,1,1,56,31,31,31,64,65,65,65
42,1,8,1000000,1,2,880023,572524,572524,572524,892199,1175346,1175346,1175346
42,1,8,1000000,1,3,859,40,40,40,63,2476,2476,2476
42,1,8,1000000,2,1,19,14,14,14,24,26,26,26
42,1,8,1000000,2,2,279653,130986,130986,130986,304067,502942,502942,502942
42,1,8,1000000,2,3,18,12,12,12,23,25,25,25

