NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
10,1,8,1000000,4,2,207280,189134,189134,189134,225426,225426,225426,225426
10,1,8,1000000,4,3,20,18,18,18,22,22,22,22


12,1,16,1000000,1,1,92,44,44,44,77,158,158,158
12,1,16,1000000,1,2,1122572,341697,341697,341697,1178963,1761890,1761890,1761890
12,1,16,1000000,1,3,77,38,38,38,81,131,131,131
12,1,16,1000000,2,1,4680,15,15,15,29,18656,18656,18656
12,1,16,1000000,2,2,323387,139046,139046,139046,348845,593310,593310,593310
12,1,16,1000000,2,3,20,13,13,13,23,34,34,34
12,1,16,1000000,4,1,25,25,25,25,25,25,25,25
12,1,16,1000000,4,2,189890,189890,189890,189890,189890,189890,189890,189890
12,1,16,1000000,4,3,20,20,20,20,20,20,20,20

13,1,32,1000000,1,1,1213,41,41,45,117,275,15399,15399
13,1,32,1000000,1,2,1760793,333964,333964,340808,1871257,2250242,6205421,6205421
13,1,32,1000000,1,3,180,39,39,40,144,473,611,611
13,1,32,1000000,2,1,6187,19,19,19,23,18519,18519,18519
13,1,32,1000000,2,2,342681,204729,204729,204729,264769,558547,558547,558547
13,1,32,1000000,2,3,18,14,14,14,18,23,23,23
13,1,32,1000000,3,1,670,39,39,61,93,156,6493,6493
13,1,32,1000000,3,2,471729,202486,202486,202486,286435,1444859,1444859,1444859
13,1,32,1000000,3,3,43,22,22,22,38,80,80,80
13,1,32,1000000,4,1,42,13,13,13,37,80,124,124
13,1,32,1000000,4,2,381077,84691,84691,144675,244901,1087676,1108520,1108520
13,1,32,1000000,4,3,24,10,10,12,20,50,54,54

14,1,16,1000000,1,1,81,33,33,33,81,143,143,143
14,1,16,1000000,1,2,1003130,261781,261781,261781,909667,1981676,1981676,1981676
14,1,16,1000000,1,3,74,29,29,29,79,120,120,120
14,1,16,1000000,2,1,4877,19,19,19,35,19434,19434,19434
14,1,16,1000000,2,2,376617,134421,134421,134421,353784,768595,768595,768595
14,1,16,1000000,2,3,24,13,13,13,26,38,38,38
14,1,16,1000000,4,1,17,17,17,17,17,17,17,17
14,1,16,1000000,4,2,227555,227555,227555,227555,227555,227555,227555,227555
14,1,16,1000000,4,3,15,15,15,15,15,15,15,15


16,1,32,1000000,1,1,8182,42,42,63,163,215,120839,120839
16,1,32,1000000,1,2,2035539,358784,358784,363691,1784485,5295345,7558452,7558452
16,1,32,1000000,1,3,186,32,32,42,153,528,538,538
16,1,32,1000000,2,1,7680,22,22,22,36,22982,22982,22982
16,1,32,1000000,2,2,307596,206375,206375,206375,277500,438914,438914,438914
16,1,32,1000000,2,3,19,15,15,15,20,23,23,23
16,1,32,1000000,3,1,65,25,25,30,68,99,102,102
16,1,32,1000000,3,2,927494,192242,192242,192242,875753,1715522,1715522,1715522
16,1,32,1000000,3,3,43,21,21,21,37,97,97,97
16,1,32,1000000,4,1,40,15,15,18,25,89,211,211
16,1,32,1000000,4,2,369887,62364,62364,119231,267394,914351,1298677,1298677
16,1,32,1000000,4,3,20,10,10,14,20,31,43,43

17,1,48,1000000,1,1,2619,41,41,42,210,393,41687,41687
17,1,48,1000000,1,2,3152000,478241,478241,515352,2071584,7331475,8281595,8281595
17,1,48,1000000,1,3,247,44,44,47,223,512,586,586
17,1,48,1000000,2,1,17260,22,22,22,44,51714,51714,51714
17,1,48,1000000,2,2,401159,240097,240097,240097,326704,636678,636678,636678
17,1,48,1000000,2,3,23,15,15,15,26,30,30,30
17,1,48,1000000,3,1,72,25,30,34,62,143,182,224
17,1,48,1000000,3,2,3036289,182788,321489,975147,3082754,4770834,5295506,7965374
17,1,48,1000000,3,3,77,24,30,31,74,132,133,174
17,1,48,1000000,4,1,272,13,15,19,38,89,107,14875
17,1,48,1000000,4,2,2291897,65029,131981,190163,1714951,5817065,6140284,7296184
17,1,48,1000000,4,3,41,10,14,17,38,67,76,269

18,1,48,1000000,1,1,3561,43,43,58,181,685,53345,53345
18,1,48,1000000,1,2,3471386,493857,493857,725140,1991452,8831324,9475455,9475455
18,1,48,1000000,1,3,535,45,45,46,353,863,3416,3416
18,1,48,1000000,2,1,16254,27,27,27,31,48704,48704,48704
18,1,48,1000000,2,2,435399,225372,225372,225372,452349,628477,628477,628477
18,1,48,1000000,2,3,26,15,15,15,27,37,37,37
18,1,48,1000000,3,1,389,21,30,33,71,178,247,13931
18,1,48,1000000,3,2,2511169,210053,294342,476352,2568190,3709853,4803781,6884226
18,1,48,1000000,3,3,76,23,30,30,56,151,209,249
18,1,48,1000000,4,1,2396,13,16,21,44,95,135,126657
18,1,48,1000000,4,2,1992987,208922,224359,241173,1681901,4850370,5135072,6778439
18,1,48,1000000,4,3,41,7,13,15,25,95,119,174

