NO,compactor,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
32,1,3,4,58739,42183,42183,42183,75296,75296,75296,75296
32,1,3,5,93,93,93,93,93,93,93,93
32,1,4,1,21,13,13,13,21,36,36,36
32,1,4,2,2803,2338,2338,2338,2558,4501,4501,4501
32,1,4,3,239779,56346,56346,56346,236385,401953,401953,401953
32,1,4,4,25574,6058,6058,6058,24649,48464,48464,48464
32,1,4,5,28,18,18,18,30,36,36,36

33,1,1,1,160,25,25,26,133,354,396,396
33,1,1,2,56354,9310,9467,13793,58154,90854,120325,124898
33,1,1,3,2624555,478244,538566,665383,3137296,3967411,4383198,4740837
33,1,1,4,138607,29284,34612,46877,157907,196911,206531,224192
33,1,1,5,292,53,53,60,156,810,856,856
33,1,2,1,34,15,15,15,26,55,55,55
33,1,2,2,7822,4577,4577,4577,6981,14817,14817,14817
33,1,2,3,257753,98752,98752,98752,238826,409846,409846,409846
33,1,2,4,28322,13557,13557,13557,23865,50270,50270,50270
33,1,2,5,25,17,17,17,28,33,33,33
33,1,3,2,10,1,1,1,9,43,43,43
33,1,3,3,500691,107733,107733,107733,509331,938795,938795,938795
33,1,3,4,45857,4970,4970,4970,45319,98320,98320,98320
33,1,3,5,120,66,66,66,108,225,225,225
33,1,4,1,25,11,11,12,18,51,52,101
33,1,4,2,3501,2319,2346,2374,2500,7348,7403,7691
33,1,4,3,240768,90155,144460,158663,219104,344475,350803,398889
33,1,4,4,28737,15745,16669,19648,24842,41687,45585,49508
33,1,4,5,79,21,25,25,33,39,47,1124







40,1,1,1,228,31,31,76,229,389,491,491
40,1,1,2,56140,16881,19143,24495,55786,86204,100066,100698
40,1,1,3,2849301,595992,608364,806082,3360556,4040125,4335236,5010405
40,1,1,4,149218,44076,44304,61918,170660,200129,217567,239276
40,1,1,5,266,60,60,71,206,767,814,814
40,1,2,1,39,16,16,16,41,57,57,57
40,1,2,2,9721,4806,4806,4806,8071,20364,20364,20364
40,1,2,3,308389,104202,104202,104202,263827,613827,613827,613827
40,1,2,4,28846,10064,10064,10064,24569,53966,53966,53966
40,1,2,5,32,18,18,18,34,44,44,44
40,1,3,1,50,21,21,21,45,99,99,99
40,1,3,2,14,0,0,0,5,41,81,81
40,1,3,3,754065,232147,232147,309712,671845,1309544,1348088,1348088
40,1,3,4,100803,18404,18404,21421,38748,123235,781844,781844
40,1,3,5,81,65,65,65,85,93,93,93
40,1,4,1,26,10,10,12,20,49,51,77
40,1,4,2,3874,2345,2378,2378,2565,5762,7412,15491
40,1,4,3,239960,86034,91277,140684,215486,341571,388346,440241
40,1,4,4,29335,10127,10175,17436,30516,41370,42588,60893
40,1,4,5,32,20,20,22,31,41,41,44

41,1,1,1,170,37,39,42,124,429,442,504
41,1,1,2,71914,9650,10386,16685,73154,139815,153575,222048
41,1,1,3,4098491,238644,596586,850074,3577679,9334995,10668758,12369243
41,1,1,4,224604,18679,39126,56762,166621,759747,949736,978242
41,1,1,5,329,52,64,83,254,746,781,1095
41,1,2,1,25,16,16,16,24,40,40,40
41,1,2,2,8617,4835,4835,4835,6965,17924,17924,17924
41,1,2,3,289300,104330,104330,104330,256553,568378,568378,568378
41,1,2,4,28514,9825,9825,9825,23962,50893,50893,50893
41,1,2,5,29,22,22,22,29,38,38,38
41,1,3,1,33,15,16,16,24,72,81,105
41,1,3,2,135,0,0,0,6,23,27,11538
41,1,3,3,898298,123171,177659,217083,907352,1787738,1974163,2210348
41,1,3,4,100316,4970,12048,13273,36425,101515,749386,822413
41,1,3,5,72,39,47,53,71,103,112,113
41,1,4,1,38,9,11,11,14,39,94,1117
41,1,4,2,3716,2303,2329,2344,2471,5720,8261,16454
41,1,4,3,396650,77949,104159,141665,263143,853902,956770,1057984
41,1,4,4,103263,5672,12730,15276,25185,592674,763424,784323
41,1,4,5,43,20,21,24,34,45,60,553

42,1,1,1,176,34,35,53,114,460,511,511
42,1,1,2,75390,11814,13311,18904,63571,166850,237393,246138
42,1,1,3,4834402,433660,559069,832092,4274299,10479305,15058491,15349768
42,1,1,4,364150,29472,38800,52205,185989,1274749,1733041,2459560
42,1,1,5,235,69,76,82,290,382,433,433
42,1,2,1,25,16,16,16,23,45,45,45
42,1,2,2,7383,4631,4631,4631,6889,12935,12935,12935
42,1,2,3,325912,114813,114813,114813,324103,625827,625827,625827
42,1,2,4,28243,9852,9852,9852,29821,53402,53402,53402
42,1,2,5,24,16,16,16,24,31,31,31
42,1,3,1,32,14,15,16,24,62,123,130
42,1,3,2,9,0,0,0,4,22,33,182
42,1,3,3,1058965,118632,278461,371331,1064589,1766689,2218303,2553111
42,1,3,4,109992,8115,12580,17163,36843,563305,789620,843562
42,1,3,5,79,44,45,49,79,122,131,179
42,1,4,1,21,9,12,12,14,46,58,89
42,1,4,2,3366,1821,2334,2353,2444,5674,8564,10361
42,1,4,3,494613,104663,147485,157487,250417,1082378,1228765,1512198
42,1,4,4,81333,10331,14898,16218,24510,43964,750810,789847
42,1,4,5,33,20,24,25,33,41,44,45

