NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
8,0,48,1000000,2,2,27908,26337,26337,26337,29479,29479,29479,29479
8,0,48,1000000,2,3,1792466,958094,958094,958094,2626839,2626839,2626839,2626839
8,0,48,1000000,2,4,272501,95312,95312,95312,449691,449691,449691,449691
8,0,48,1000000,3,1,3,1,1,2,3,9,9,11
8,0,48,1000000,3,2,1156,1,1,1,12,30,37,35928
8,0,48,1000000,3,3,837437,40499,324646,410224,798174,1408204,1707186,1780185
8,0,48,1000000,4,2,923,108,118,120,165,1349,1606,19206
8,0,48,1000000,4,3,1136225,189077,312216,346497,1239611,1733518,1946589,2005747
8,0,48,1000000,4,4,206109,18370,22239,23649,185267,379870,404086,432389

9,0,48,1000000,1,1,8,2,2,6,7,10,32,32
9,0,48,1000000,1,2,42693,9,16,30,67,2463,375729,1073607
9,0,48,1000000,1,3,3208534,960708,1851192,2208019,3398760,3821509,4024149,4121833
9,0,48,1000000,1,4,172629,10861,52183,83890,135447,337731,402313,542160
9,0,48,1000000,2,2,12362,12362,12362,12362,12362,12362,12362,12362
9,0,48,1000000,2,3,603253,603253,603253,603253,603253,603253,603253,603253
9,0,48,1000000,2,4,26533,26533,26533,26533,26533,26533,26533,26533
9,0,48,1000000,3,1,38,1,2,2,3,17,20,933
9,0,48,1000000,3,2,91,1,1,2,11,33,73,5729
9,0,48,1000000,3,3,825722,177886,223319,274106,841646,1367859,1428843,2010539
9,0,48,1000000,3,4,83404,5376,6976,10628,61095,171967,233436,604843
9,0,48,1000000,4,2,6965,107,110,114,135,1305,1498,264322
9,0,48,1000000,4,3,1091099,186392,240908,300482,1193951,1728513,1768198,2422311
9,0,48,1000000,4,4,171652,13348,14897,21508,144095,366783,435449,549567


11,0,64,1000000,1,1,8,2,2,4,7,14,23,23
11,0,64,1000000,1,2,100970,11,28,41,84,15102,1385313,1626458
11,0,64,1000000,1,3,3740225,1643402,2130197,2614656,3846005,4793424,5044604,5194458
11,0,64,1000000,1,4,198165,59914,81904,103346,139771,243170,662018,1719728
11,0,64,1000000,2,2,35558,35558,35558,35558,35558,35558,35558,35558
11,0,64,1000000,2,3,1370795,1370795,1370795,1370795,1370795,1370795,1370795,1370795
11,0,64,1000000,2,4,33630,33630,33630,33630,33630,33630,33630,33630
11,0,64,1000000,3,1,5,1,2,2,4,8,11,25
11,0,64,1000000,3,2,53,1,1,1,11,27,35,808
11,0,64,1000000,3,3,967177,68309,191425,243617,802365,1916948,2249653,3162403
11,0,64,1000000,3,4,93399,1732,5602,8097,54495,227731,314668,569865
11,0,64,1000000,4,2,3522,107,117,120,214,1342,2182,87045
11,0,64,1000000,4,3,1594795,219944,286148,344373,1865786,2435629,2868648,3164212
11,0,64,1000000,4,4,201931,13883,21724,32698,199454,453281,537826,632209

12,0,64,1000000,1,1,8,2,2,5,6,13,33,33
12,0,64,1000000,1,2,90285,20,23,28,76,100798,599580,2093706
12,0,64,1000000,1,3,3685515,1782614,2110084,2505570,3832910,4463757,4662513,4945801
12,0,64,1000000,1,4,237503,56800,102214,111731,163504,552130,747490,896323
12,0,64,1000000,2,2,101358,101358,101358,101358,101358,101358,101358,101358
12,0,64,1000000,2,3,1486212,1486212,1486212,1486212,1486212,1486212,1486212,1486212
12,0,64,1000000,2,4,406311,406311,406311,406311,406311,406311,406311,406311
12,0,64,1000000,3,1,4,1,2,2,3,8,12,16
12,0,64,1000000,3,2,1320,1,1,1,11,37,324,60662
12,0,64,1000000,3,3,1041571,116731,311534,422063,900365,1956720,2204665,2944983
12,0,64,1000000,3,4,124236,5334,9492,13818,71568,304589,371246,713606
12,0,64,1000000,4,2,2098,107,108,121,197,1529,14168,51012
12,0,64,1000000,4,3,1270600,51841,210083,242177,1407136,2259077,2391535,2680205
12,0,64,1000000,4,4,209961,6614,10726,19637,200881,480002,595470,737732

13,1,8,1000000,1,1,55,43,43,43,60,65,65,65
13,1,8,1000000,1,2,663367,342854,342854,342854,704920,988786,988786,988786
13,1,8,1000000,1,3,58,35,35,35,64,72,72,72
13,1,8,1000000,2,1,28,17,17,17,32,52,52,52
13,1,8,1000000,2,2,388788,108052,108052,108052,377259,844803,844803,844803
13,1,8,1000000,2,3,27,12,12,12,28,51,51,51
13,1,8,1000000,4,1,11,11,11,11,11,11,11,11
13,1,8,1000000,4,2,69574,69574,69574,69574,69574,69574,69574,69574
13,1,8,1000000,4,3,9,9,9,9,9,9,9,9

14,1,8,1000000,1,1,65,40,40,40,67,88,88,88
14,1,8,1000000,1,2,756378,507237,507237,507237,798796,986716,986716,986716
14,1,8,1000000,1,3,56,44,44,44,53,78,78,78
14,1,8,1000000,2,1,23,13,13,13,21,44,44,44
14,1,8,1000000,2,2,292276,136646,136646,136646,290296,525474,525474,525474
14,1,8,1000000,2,3,20,11,11,11,25,29,29,29

15,1,16,1000000,1,1,1685,37,37,71,109,15946,15946,15946
15,1,16,1000000,1,2,1034874,468429,468429,512831,1087648,1724866,1724866,1724866
15,1,16,1000000,1,3,96,39,39,46,91,199,199,199
15,1,16,1000000,2,1,106,14,14,14,160,228,228,228
15,1,16,1000000,2,2,308654,151743,151743,151743,313974,538140,538140,538140
15,1,16,1000000,2,3,21,14,14,14,23,30,30,30
15,1,16,1000000,3,1,43,43,43,43,43,43,43,43
15,1,16,1000000,4,1,33,27,27,27,39,39,39,39
15,1,16,1000000,4,2,194754,194754,194754,194754,194754,194754,194754,194754
15,1,16,1000000,4,3,50,50,50,50,50,50,50,50

16,1,16,1000000,1,1,4125,35,35,35,99,36353,36353,36353
16,1,16,1000000,1,2,1094202,333972,333972,333972,1199928,2008425,2008425,2008425
16,1,16,1000000,1,3,142,45,45,45,75,666,666,666
16,1,16,1000000,2,1,22,18,18,18,23,31,31,31
16,1,16,1000000,2,2,363611,232015,232015,232015,359034,562951,562951,562951
16,1,16,1000000,2,3,23,15,15,15,28,33,33,33
16,1,16,1000000,4,1,23,23,23,23,23,23,23,23
16,1,16,1000000,4,2,192719,192719,192719,192719,192719,192719,192719,192719
16,1,16,1000000,4,3,18,18,18,18,18,18,18,18

17,1,32,1000000,1,1,1023,45,45,75,183,614,10573,10573
17,1,32,1000000,1,2,2455360,724027,724027,876752,1918308,6493993,7192597,7192597
17,1,32,1000000,1,3,307,48,48,70,156,686,930,930
17,1,32,1000000,2,1,448,16,16,16,55,1702,1702,1702
17,1,32,1000000,2,2,494534,175751,175751,175751,434296,1111754,1111754,1111754
17,1,32,1000000,2,3,29,16,16,16,38,45,45,45
17,1,32,1000000,3,1,101,34,34,34,81,248,248,248
17,1,32,1000000,3,2,786808,278149,278149,278149,749019,1518864,1518864,1518864
17,1,32,1000000,3,3,49,25,25,25,55,83,83,83
17,1,32,1000000,4,1,60,16,16,17,57,132,137,137
17,1,32,1000000,4,2,583872,202639,202639,228705,304807,1347221,1610585,1610585
17,1,32,1000000,4,3,25,14,14,15,23,45,53,53

18,1,32,1000000,1,1,2464,59,59,70,182,10814,20724,20724
18,1,32,1000000,1,2,2162884,539269,539269,707232,1909334,2583323,7515098,7515098
18,1,32,1000000,1,3,1278,50,50,61,410,815,12579,12579
18,1,32,1000000,2,1,8022,15,15,15,46,32000,32000,32000
18,1,32,1000000,2,2,365900,116538,116538,116538,404069,665431,665431,665431
18,1,32,1000000,2,3,45,18,18,18,30,105,105,105
18,1,32,1000000,3,1,726,22,22,22,67,5343,5343,5343
18,1,32,1000000,3,2,814199,202464,202464,202464,805127,1909633,1909633,1909633
18,1,32,1000000,3,3,34,19,19,19,34,55,55,55
18,1,32,1000000,4,1,38,12,12,15,28,89,134,134
18,1,32,1000000,4,2,721519,102225,102225,239858,284875,1814131,1876540,1876540
18,1,32,1000000,4,3,21,14,14,16,20,29,32,32

19,1,48,1000000,1,1,9684,37,37,48,159,5775,175299,175299
19,1,48,1000000,1,2,3453350,526914,526914,531477,1415192,9752532,9793328,9793328
19,1,48,1000000,1,3,1401,46,46,54,258,8066,11587,11587
19,1,48,1000000,2,1,850,14,14,14,27,5817,5817,5817
19,1,48,1000000,2,2,332543,115795,115795,115795,245287,709338,709338,709338
19,1,48,1000000,2,3,12366,16,16,16,3473,51821,51821,51821
19,1,48,1000000,3,1,93,21,23,33,68,185,293,396
19,1,48,1000000,3,2,1667255,189815,251588,303760,1618993,3097379,3470947,4369819
19,1,48,1000000,3,3,83,27,27,29,54,128,190,921
19,1,48,1000000,4,1,1662,13,13,18,30,102,570,56395
19,1,48,1000000,4,2,954625,93787,179561,205430,956373,1713809,2353315,2492801
19,1,48,1000000,4,3,30,6,15,16,25,60,62,118

20,1,48,1000000,1,1,16929,50,50,128,231,76151,121210,121210
20,1,48,1000000,1,2,3847699,665989,665989,702597,2042733,8697914,9446528,9446528
20,1,48,1000000,1,3,445,40,40,61,472,865,1315,1315
20,1,48,1000000,2,1,25,23,23,23,23,31,31,31
20,1,48,1000000,2,2,433846,226715,226715,226715,466711,612807,612807,612807
20,1,48,1000000,2,3,27,22,22,22,24,40,40,40
20,1,48,1000000,3,1,626,24,24,37,62,154,244,21537
20,1,48,1000000,3,2,1504160,246200,257790,283737,1534643,2498591,2828087,4726188
20,1,48,1000000,3,3,83,21,24,27,49,164,403,567
20,1,48,1000000,4,1,2090,10,11,15,27,102,176,75886
20,1,48,1000000,4,2,960080,126997,152132,161330,877885,1635379,1748212,2333881
20,1,48,1000000,4,3,24,13,14,14,22,33,67,96



