NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
8,1,8,2000000,2,3,40,12,12,12,69,69,69,69
8,1,8,2000000,3,1,690,27,29,33,68,144,5893,7286
8,1,8,2000000,3,2,223051,141665,142510,143764,212945,320796,383822,450423
8,1,8,2000000,3,3,75,20,26,34,61,129,159,183
8,1,8,2000000,4,1,229,16,16,16,25,58,2634,2634
8,1,8,2000000,4,2,202549,82344,82344,87284,197267,350530,384619,384619
8,1,8,2000000,4,3,36,14,14,20,33,60,62,62



11,1,8,2000000,1,1,74,19,19,39,65,126,146,146
11,1,8,2000000,1,2,215453,144679,144679,146235,209475,299683,304224,304224
11,1,8,2000000,1,3,92,25,25,32,114,151,197,197
11,1,8,2000000,2,1,3808,32,32,32,41,18812,18812,18812
11,1,8,2000000,2,2,588110,165807,165807,165807,678114,860083,860083,860083
11,1,8,2000000,2,3,55,39,39,39,54,83,83,83
11,1,8,2000000,3,1,413,15,15,32,67,2303,4204,4204
11,1,8,2000000,3,2,230121,112630,112630,127620,213275,334361,375805,375805
11,1,8,2000000,3,3,83,29,29,46,74,167,180,180
11,1,8,2000000,4,1,1460,16,16,18,38,5428,10113,10113
11,1,8,2000000,4,2,236044,171028,171028,174239,188662,401030,437400,437400
11,1,8,2000000,4,3,28,14,14,16,21,42,51,51

