NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
15,1,8,1000000,1,2,659741,374608,374608,374608,910611,961012,961012,961012
15,1,8,1000000,1,3,87,36,36,36,71,197,197,197
15,1,8,1000000,2,1,4585,17,17,17,22,22834,22834,22834
15,1,8,1000000,2,2,421403,109660,109660,109660,327110,963594,963594,963594
15,1,8,1000000,2,3,47,14,14,14,51,76,76,76
15,1,8,1000000,4,1,98,98,98,98,98,98,98,98
15,1,8,1000000,4,2,201083,201083,201083,201083,201083,201083,201083,201083
15,1,8,1000000,4,3,24,24,24,24,24,24,24,24

16,1,8,1000000,1,1,95,57,57,57,67,199,199,199
16,1,8,1000000,1,2,899194,758494,758494,758494,848392,1186664,1186664,1186664
16,1,8,1000000,1,3,94,48,48,48,75,206,206,206
16,1,8,1000000,2,1,480,14,14,14,76,1814,1814,1814
16,1,8,1000000,2,2,374275,124653,124653,124653,452005,620686,620686,620686
16,1,8,1000000,2,3,41,21,21,21,37,73,73,73

